Category,License,Dependency,Notes
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # desktop_2.13 # 0.11.3,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # dotterweide-core_2.13 # 0.4.0,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # dotterweide-doc-browser_2.13 # 0.4.0,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # dotterweide-scala_2.13 # 0.4.0,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # dotterweide-ui_2.13 # 0.4.0,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # equal_2.13 # 0.1.6,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # filecache-common_2.13 # 1.1.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # filecache-mutable_2.13 # 1.1.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # filecache-txn_2.13 # 1.1.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # fileutil_2.13 # 1.1.5,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # fingertree_2.13 # 1.5.5,
LGPL,LGPL v2.1+ (https://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # jump3r # 1.0.5,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # kollflitz_2.13 # 0.2.4,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # log_2.13 # 0.1.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # model_2.13 # 0.3.5,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # numbers_2.13 # 0.2.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # optional_2.13 # 1.0.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # processor_2.13 # 0.5.0,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # raphael-icons_2.13 # 1.0.7,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # scalacolliderugens-api_2.13 # 1.21.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # scalacolliderugens-core_2.13 # 1.21.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # scalacolliderugens-plugins_2.13 # 1.21.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # scalainterpreterpane_2.13 # 1.11.0,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # scalaosc_2.13 # 1.3.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # serial_2.13 # 2.0.1,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # span_2.13 # 2.0.2,
